Lead_ID,Location,College,Year Of Study,Program Intrest,Lead Source
LD75,Raipur,IIT Delhi,1st,Robotics,Google Form
LD76,Delhi,IIIT Hyderabad,1st,Data Science,College Colloboration
LD77,Bangalore,IIM Bangalore,4th,Robotics,Google Form
LD78,Bangalore,VNIT Nagpur,4th,Artificial Intelligence,Google Form
LD79,Raipur,IIT Bombay,1st,Robotics,Instagram
LD80,Delhi,IIM Bangalore,2nd,Finance,Whatsapp
LD81,Delhi,IIT Delhi,3rd,Artificial Intelligence,Linkedin
LD82,Nagpur,IIM Bangalore,1st,Computer Science,Whatsapp
LD83,Bangalore,IIM A,4th,Artificial Intelligence,Whatsapp
LD84,Delhi,IIT Delhi,3rd,Robotics,Whatsapp
LD85,Delhi,VNIT Nagpur,2nd,Artificial Intelligence,Instagram
LD86,Delhi,IIIT Hyderabad,2nd,Robotics,Instagram
LD87,Ahmedabad,IIT Delhi,2nd,Artificial Intelligence,College Colloboration
LD88,Bangalore,IIT Bombay,4th,Computer Science,College Colloboration
LD89,Ahmedabad,IIM Bangalore,1st,Robotics,Linkedin
LD90,Delhi,IIM Bangalore,4th,Robotics,College Colloboration
LD91,Delhi,IIT Delhi,1st,Finance,Google Form
LD92,Hyderabad,IIM A,2nd,Artificial Intelligence,College Colloboration
LD93,Bangalore,IIM Bangalore,3rd,Robotics,Instagram
LD94,Delhi,IIIT Hyderabad,4th,Finance,Instagram
LD95,Mumbai,BIITS Raipur,2nd,Human Resource,Google Form
LD96,Delhi,VNIT Nagpur,2nd,Data Science,College Colloboration
LD97,Bangalore,IIT Bombay,1st,Computer Science,Google Form
LD98,Raipur,BIITS Raipur,1st,Finance,Whatsapp
LD99,Ahmedabad,IIM Bangalore,1st,Computer Science,Linkedin
LD100,Delhi,VNIT Nagpur,4th,Robotics,Linkedin
LD101,Delhi,IIT Delhi,4th,Computer Science,Whatsapp
LD102,Mumbai,BIITS Raipur,4th,Human Resource,Whatsapp
LD103,Bangalore,IIM Bangalore,4th,Human Resource,Linkedin
LD104,Raipur,IIT Delhi,4th,Computer Science,Whatsapp
LD105,Delhi,IIM A,2nd,Robotics,Instagram
LD106,Ahmedabad,IIM A,3rd,Human Resource,Google Form
LD107,Mumbai,VNIT Nagpur,1st,Robotics,College Colloboration
LD108,Mumbai,IIM Bangalore,1st,Computer Science,Whatsapp
LD109,Bangalore,Ramdeobaba Univerisity,3rd,Finance,Google Form
LD110,Delhi,IIM Bangalore,2nd,Robotics,Whatsapp
LD111,Ahmedabad,IIT Bombay,3rd,Data Science,Google Form
LD112,Mumbai,BIITS Raipur,4th,Human Resource,College Colloboration
LD113,Raipur,IIIT Hyderabad,3rd,Human Resource,Linkedin
LD114,Ahmedabad,VNIT Nagpur,3rd,Artificial Intelligence,Instagram
LD115,Hyderabad,IIT Delhi,4th,Computer Science,Linkedin
LD116,Mumbai,IIM A,1st,Human Resource,Google Form
LD117,Hyderabad,IIT Bombay,1st,Artificial Intelligence,Linkedin
LD118,Nagpur,IIT Bombay,4th,Finance,Instagram
LD119,Nagpur,IIM A,4th,Computer Science,Linkedin
LD120,Bangalore,IIIT Hyderabad,3rd,Data Science,Linkedin
LD121,Bangalore,Ramdeobaba Univerisity,2nd,Computer Science,Google Form
LD122,Bangalore,Ramdeobaba Univerisity,4th,Artificial Intelligence,Whatsapp
LD123,Nagpur,IIM Bangalore,1st,Computer Science,Google Form
LD124,Hyderabad,IIM Bangalore,4th,Computer Science,Instagram
LD125,Nagpur,IIM A,4th,Robotics,Linkedin
LD126,Mumbai,VNIT Nagpur,4th,Finance,Google Form
LD127,Delhi,VNIT Nagpur,2nd,Robotics,College Colloboration
LD128,Mumbai,Ramdeobaba Univerisity,3rd,Computer Science,Whatsapp
LD129,Bangalore,Ramdeobaba Univerisity,2nd,Computer Science,College Colloboration
LD130,Delhi,VNIT Nagpur,3rd,Finance,Instagram
LD131,Hyderabad,IIT Delhi,3rd,Robotics,Linkedin
LD132,Delhi,IIM Bangalore,1st,Data Science,Instagram
LD133,Ahmedabad,IIM A,4th,Human Resource,Instagram
LD134,Hyderabad,IIIT Hyderabad,1st,Robotics,Whatsapp
LD135,Hyderabad,IIIT Hyderabad,2nd,Computer Science,Google Form
LD136,Bangalore,BIITS Raipur,3rd,Finance,Instagram
LD137,Nagpur,IIM Bangalore,2nd,Artificial Intelligence,Google Form
LD138,Delhi,BIITS Raipur,1st,Computer Science,College Colloboration
LD139,Ahmedabad,IIM Bangalore,1st,Robotics,Whatsapp
LD140,Delhi,BIITS Raipur,3rd,Data Science,Instagram
LD141,Ahmedabad,VNIT Nagpur,1st,Artificial Intelligence,Instagram
LD142,Bangalore,IIIT Hyderabad,4th,Finance,Linkedin
LD143,Delhi,Ramdeobaba Univerisity,3rd,Artificial Intelligence,College Colloboration
LD144,Delhi,BIITS Raipur,3rd,Data Science,Google Form
LD145,Bangalore,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Linkedin
LD146,Ahmedabad,BIITS Raipur,1st,Computer Science,Instagram
LD147,Raipur,VNIT Nagpur,4th,Human Resource,Linkedin
LD148,Hyderabad,IIT Delhi,3rd,Computer Science,Instagram
LD149,Delhi,IIIT Hyderabad,4th,Robotics,Google Form
LD150,Delhi,Ramdeobaba Univerisity,4th,Human Resource,Instagram
LD151,Delhi,IIIT Hyderabad,3rd,Finance,Google Form
LD152,Delhi,IIT Delhi,2nd,Computer Science,Whatsapp
LD153,Delhi,IIM Bangalore,4th,Robotics,Google Form
LD154,Bangalore,IIT Bombay,3rd,Artificial Intelligence,College Colloboration
LD155,Mumbai,BIITS Raipur,2nd,Human Resource,College Colloboration
LD156,Nagpur,IIM A,2nd,Human Resource,College Colloboration
LD157,Ahmedabad,IIM A,2nd,Artificial Intelligence,Linkedin
LD158,Hyderabad,IIIT Hyderabad,3rd,Data Science,Google Form
LD159,Raipur,IIIT Hyderabad,3rd,Human Resource,Whatsapp
LD160,Hyderabad,BIITS Raipur,2nd,Data Science,College Colloboration
LD161,Raipur,VNIT Nagpur,2nd,Artificial Intelligence,College Colloboration
LD162,Ahmedabad,IIM Bangalore,3rd,Finance,College Colloboration
LD163,Bangalore,IIM Bangalore,2nd,Human Resource,College Colloboration
LD164,Delhi,IIT Delhi,1st,Robotics,College Colloboration
LD165,Ahmedabad,Ramdeobaba Univerisity,3rd,Human Resource,Linkedin
LD166,Mumbai,IIT Bombay,1st,Artificial Intelligence,Linkedin
LD167,Raipur,BIITS Raipur,3rd,Computer Science,Instagram
LD168,Delhi,Ramdeobaba Univerisity,2nd,Finance,Whatsapp
LD169,Bangalore,IIIT Hyderabad,4th,Human Resource,Linkedin
LD170,Hyderabad,BIITS Raipur,4th,Artificial Intelligence,Whatsapp
LD171,Delhi,IIM Bangalore,4th,Robotics,Google Form
LD172,Mumbai,IIM Bangalore,3rd,Finance,Whatsapp
LD173,Delhi,IIT Bombay,2nd,Robotics,College Colloboration
LD174,Mumbai,IIT Bombay,4th,Data Science,Linkedin
LD175,Bangalore,BIITS Raipur,3rd,Finance,College Colloboration
LD176,Delhi,IIM Bangalore,1st,Robotics,Google Form
LD177,Bangalore,IIT Delhi,3rd,Robotics,Instagram
LD178,Hyderabad,BIITS Raipur,4th,Data Science,College Colloboration
LD179,Nagpur,BIITS Raipur,1st,Data Science,College Colloboration
LD180,Delhi,IIM Bangalore,4th,Human Resource,Instagram
LD181,Nagpur,IIM A,2nd,Artificial Intelligence,Instagram
LD182,Bangalore,VNIT Nagpur,1st,Human Resource,Linkedin
LD183,Nagpur,Ramdeobaba Univerisity,1st,Robotics,College Colloboration
LD184,Hyderabad,IIT Delhi,4th,Artificial Intelligence,College Colloboration
LD185,Ahmedabad,IIT Bombay,1st,Data Science,College Colloboration
LD186,Delhi,IIT Bombay,3rd,Data Science,Google Form
LD187,Hyderabad,BIITS Raipur,4th,Finance,Whatsapp
LD188,Delhi,IIT Delhi,2nd,Human Resource,Linkedin
LD189,Nagpur,IIM Bangalore,1st,Robotics,Linkedin
LD190,Nagpur,IIIT Hyderabad,4th,Data Science,Instagram
LD191,Bangalore,IIT Delhi,2nd,Robotics,Google Form
LD192,Bangalore,IIT Delhi,2nd,Finance,Linkedin
LD193,Mumbai,IIM Bangalore,4th,Computer Science,Instagram
LD194,Hyderabad,IIT Delhi,2nd,Data Science,Linkedin
LD195,Nagpur,IIT Delhi,1st,Data Science,Whatsapp
LD196,Mumbai,IIIT Hyderabad,4th,Artificial Intelligence,Whatsapp
LD197,Ahmedabad,BIITS Raipur,4th,Computer Science,Linkedin
LD198,Mumbai,IIM A,2nd,Computer Science,Linkedin
LD199,Delhi,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Whatsapp
LD200,Raipur,VNIT Nagpur,4th,Human Resource,Instagram
LD201,Ahmedabad,IIT Delhi,1st,Robotics,Whatsapp
LD202,Nagpur,IIM Bangalore,1st,Finance,Linkedin
LD203,Hyderabad,IIIT Hyderabad,2nd,Robotics,Linkedin
LD204,Nagpur,VNIT Nagpur,3rd,Computer Science,Whatsapp
LD205,Mumbai,IIT Bombay,1st,Human Resource,Google Form
LD206,Bangalore,IIIT Hyderabad,1st,Data Science,Whatsapp
LD207,Hyderabad,IIT Bombay,1st,Data Science,College Colloboration
LD208,Raipur,IIM A,2nd,Finance,College Colloboration
LD209,Hyderabad,IIM A,1st,Computer Science,Google Form
LD210,Delhi,VNIT Nagpur,1st,Human Resource,Whatsapp
LD211,Delhi,IIIT Hyderabad,3rd,Human Resource,Whatsapp
LD212,Ahmedabad,IIT Delhi,4th,Robotics,College Colloboration
LD213,Mumbai,BIITS Raipur,2nd,Artificial Intelligence,Linkedin
LD214,Hyderabad,IIM A,1st,Human Resource,College Colloboration
LD215,Mumbai,IIIT Hyderabad,2nd,Data Science,Whatsapp
LD216,Mumbai,IIIT Hyderabad,1st,Data Science,Linkedin
LD217,Hyderabad,IIT Delhi,4th,Finance,Google Form
LD218,Nagpur,IIT Delhi,4th,Robotics,Whatsapp
LD219,Bangalore,BIITS Raipur,1st,Finance,College Colloboration
LD220,Delhi,BIITS Raipur,3rd,Data Science,Whatsapp
LD221,Delhi,VNIT Nagpur,1st,Artificial Intelligence,Whatsapp
LD222,Mumbai,BIITS Raipur,3rd,Human Resource,Linkedin
LD223,Raipur,IIIT Hyderabad,3rd,Finance,Instagram
LD224,Mumbai,IIM Bangalore,3rd,Human Resource,Google Form
LD225,Raipur,IIIT Hyderabad,4th,Computer Science,Whatsapp
LD226,Bangalore,IIT Bombay,2nd,Computer Science,Google Form
LD227,Raipur,IIM A,1st,Human Resource,Google Form
LD228,Delhi,IIT Bombay,1st,Robotics,Linkedin
LD229,Raipur,VNIT Nagpur,1st,Artificial Intelligence,Instagram
LD230,Hyderabad,VNIT Nagpur,1st,Artificial Intelligence,Instagram
LD231,Hyderabad,Ramdeobaba Univerisity,2nd,Data Science,Instagram
LD232,Bangalore,IIIT Hyderabad,1st,Artificial Intelligence,Whatsapp
LD233,Bangalore,IIT Delhi,2nd,Robotics,Instagram
LD234,Bangalore,BIITS Raipur,2nd,Data Science,College Colloboration
LD235,Nagpur,IIM A,1st,Finance,College Colloboration
LD236,Ahmedabad,BIITS Raipur,1st,Finance,Google Form
LD237,Mumbai,IIM A,1st,Artificial Intelligence,College Colloboration
LD238,Raipur,IIT Bombay,1st,Data Science,Google Form
LD239,Mumbai,VNIT Nagpur,3rd,Human Resource,Instagram
LD240,Nagpur,BIITS Raipur,1st,Human Resource,College Colloboration
LD241,Hyderabad,IIM Bangalore,2nd,Data Science,Instagram
LD242,Hyderabad,Ramdeobaba Univerisity,2nd,Data Science,Google Form
LD243,Delhi,IIM A,1st,Computer Science,Whatsapp
LD244,Bangalore,IIT Bombay,3rd,Data Science,Google Form
LD245,Raipur,IIT Bombay,4th,Finance,Google Form
LD246,Mumbai,BIITS Raipur,4th,Robotics,Linkedin
LD247,Raipur,IIIT Hyderabad,1st,Robotics,Google Form
LD248,Raipur,IIT Delhi,1st,Computer Science,College Colloboration
LD249,Bangalore,IIIT Hyderabad,3rd,Computer Science,College Colloboration
LD250,Ahmedabad,VNIT Nagpur,3rd,Artificial Intelligence,Instagram
LD251,Delhi,IIM Bangalore,2nd,Artificial Intelligence,Instagram
LD252,Bangalore,VNIT Nagpur,3rd,Finance,College Colloboration
LD253,Raipur,IIT Bombay,4th,Robotics,Whatsapp
LD254,Raipur,IIIT Hyderabad,3rd,Artificial Intelligence,Linkedin
LD255,Delhi,IIM Bangalore,2nd,Finance,College Colloboration
LD256,Hyderabad,Ramdeobaba Univerisity,4th,Computer Science,College Colloboration
LD257,Bangalore,Ramdeobaba Univerisity,4th,Data Science,Google Form
LD258,Nagpur,IIM Bangalore,1st,Finance,Linkedin
LD259,Delhi,IIM A,2nd,Computer Science,Linkedin
LD260,Delhi,IIIT Hyderabad,4th,Robotics,Google Form
LD261,Mumbai,IIM Bangalore,1st,Data Science,Google Form
LD262,Delhi,IIT Delhi,4th,Data Science,College Colloboration
LD263,Hyderabad,IIM A,1st,Computer Science,Whatsapp
LD264,Ahmedabad,IIT Bombay,3rd,Computer Science,Google Form
LD265,Hyderabad,VNIT Nagpur,3rd,Robotics,College Colloboration
LD266,Hyderabad,BIITS Raipur,3rd,Finance,Instagram
LD267,Ahmedabad,Ramdeobaba Univerisity,1st,Robotics,College Colloboration
LD268,Bangalore,IIT Bombay,3rd,Finance,Linkedin
LD269,Bangalore,BIITS Raipur,3rd,Human Resource,Instagram
LD270,Hyderabad,IIM A,1st,Robotics,Google Form
LD271,Raipur,IIIT Hyderabad,1st,Finance,Instagram
LD272,Hyderabad,IIT Delhi,2nd,Data Science,College Colloboration
LD273,Ahmedabad,IIM A,1st,Artificial Intelligence,Instagram
LD274,Raipur,IIT Delhi,3rd,Computer Science,College Colloboration
LD275,Raipur,VNIT Nagpur,3rd,Human Resource,College Colloboration
LD276,Raipur,IIM A,1st,Robotics,Google Form
LD277,Nagpur,BIITS Raipur,1st,Robotics,Whatsapp
LD278,Mumbai,IIT Bombay,2nd,Finance,College Colloboration
LD279,Nagpur,IIT Delhi,3rd,Artificial Intelligence,Instagram
LD280,Nagpur,Ramdeobaba Univerisity,4th,Human Resource,Google Form
LD281,Delhi,IIT Bombay,2nd,Human Resource,Whatsapp
LD282,Nagpur,IIT Delhi,3rd,Data Science,Google Form
LD283,Bangalore,IIT Delhi,4th,Computer Science,Instagram
LD284,Ahmedabad,IIIT Hyderabad,1st,Data Science,Google Form
LD285,Mumbai,IIT Bombay,2nd,Human Resource,Instagram
LD286,Bangalore,VNIT Nagpur,3rd,Finance,College Colloboration
LD287,Bangalore,Ramdeobaba Univerisity,1st,Human Resource,Linkedin
LD288,Hyderabad,BIITS Raipur,4th,Artificial Intelligence,Google Form
LD289,Mumbai,IIT Delhi,1st,Data Science,Instagram
LD290,Hyderabad,IIT Delhi,3rd,Computer Science,Linkedin
LD291,Raipur,IIM A,3rd,Artificial Intelligence,Linkedin
LD292,Hyderabad,IIT Bombay,3rd,Human Resource,College Colloboration
LD293,Delhi,IIT Delhi,1st,Computer Science,Instagram
LD294,Bangalore,IIM Bangalore,3rd,Data Science,Linkedin
LD295,Delhi,VNIT Nagpur,4th,Computer Science,College Colloboration
LD296,Raipur,IIIT Hyderabad,2nd,Robotics,Linkedin
LD297,Mumbai,Ramdeobaba Univerisity,2nd,Human Resource,Linkedin
LD298,Ahmedabad,Ramdeobaba Univerisity,1st,Robotics,Instagram
LD299,Nagpur,IIIT Hyderabad,4th,Computer Science,Instagram
LD300,Bangalore,IIM A,2nd,Finance,Linkedin
LD301,Bangalore,IIM A,4th,Artificial Intelligence,Linkedin
LD302,Delhi,BIITS Raipur,3rd,Robotics,College Colloboration
LD303,Ahmedabad,IIT Delhi,1st,Robotics,Google Form
LD304,Raipur,Ramdeobaba Univerisity,3rd,Robotics,Linkedin
LD305,Raipur,VNIT Nagpur,3rd,Artificial Intelligence,Instagram
LD306,Mumbai,IIIT Hyderabad,3rd,Data Science,Whatsapp
LD307,Raipur,VNIT Nagpur,3rd,Data Science,College Colloboration
LD308,Hyderabad,IIM A,3rd,Robotics,College Colloboration
LD309,Nagpur,IIT Delhi,3rd,Human Resource,Whatsapp
LD310,Bangalore,IIM Bangalore,4th,Robotics,Google Form
LD311,Hyderabad,IIT Delhi,4th,Robotics,Instagram
LD312,Ahmedabad,IIM A,2nd,Finance,Whatsapp
LD313,Hyderabad,BIITS Raipur,4th,Human Resource,Linkedin
LD314,Nagpur,VNIT Nagpur,4th,Computer Science,Whatsapp
LD315,Ahmedabad,IIT Bombay,1st,Computer Science,Whatsapp
LD316,Nagpur,Ramdeobaba Univerisity,1st,Computer Science,Whatsapp
LD317,Nagpur,IIM A,2nd,Data Science,Linkedin
LD318,Bangalore,IIT Delhi,1st,Robotics,Linkedin
LD319,Bangalore,IIM Bangalore,4th,Human Resource,Instagram
LD320,Nagpur,VNIT Nagpur,1st,Data Science,College Colloboration
LD321,Ahmedabad,Ramdeobaba Univerisity,3rd,Robotics,Google Form
LD322,Ahmedabad,Ramdeobaba Univerisity,3rd,Finance,Whatsapp
LD323,Hyderabad,Ramdeobaba Univerisity,1st,Artificial Intelligence,Instagram
LD324,Mumbai,IIT Bombay,2nd,Computer Science,Linkedin
LD325,Ahmedabad,Ramdeobaba Univerisity,2nd,Data Science,Instagram
LD326,Delhi,VNIT Nagpur,1st,Human Resource,Linkedin
LD327,Bangalore,IIM Bangalore,4th,Data Science,College Colloboration
LD328,Bangalore,IIT Delhi,4th,Data Science,Google Form
LD329,Nagpur,VNIT Nagpur,2nd,Robotics,Google Form
LD330,Nagpur,VNIT Nagpur,1st,Computer Science,Instagram
LD331,Ahmedabad,IIIT Hyderabad,4th,Finance,Linkedin
LD332,Bangalore,IIM Bangalore,2nd,Artificial Intelligence,Instagram
LD333,Nagpur,VNIT Nagpur,2nd,Computer Science,College Colloboration
LD334,Nagpur,IIM Bangalore,2nd,Artificial Intelligence,Google Form
LD335,Hyderabad,Ramdeobaba Univerisity,2nd,Computer Science,Google Form
LD336,Raipur,Ramdeobaba Univerisity,4th,Human Resource,Linkedin
LD337,Ahmedabad,IIM Bangalore,3rd,Robotics,Google Form
LD338,Raipur,IIM A,1st,Human Resource,Google Form
LD339,Hyderabad,IIIT Hyderabad,2nd,Robotics,Instagram
LD340,Hyderabad,IIM A,3rd,Human Resource,College Colloboration
LD341,Bangalore,VNIT Nagpur,1st,Robotics,Whatsapp
LD342,Hyderabad,IIM A,3rd,Data Science,Linkedin
LD343,Nagpur,IIM Bangalore,4th,Human Resource,College Colloboration
LD344,Nagpur,IIM A,1st,Human Resource,Whatsapp
LD345,Delhi,VNIT Nagpur,3rd,Artificial Intelligence,Linkedin
LD346,Raipur,IIT Delhi,1st,Finance,Google Form
LD347,Hyderabad,Ramdeobaba Univerisity,4th,Robotics,Google Form
LD348,Delhi,IIIT Hyderabad,3rd,Human Resource,Whatsapp
LD349,Mumbai,VNIT Nagpur,4th,Finance,College Colloboration
LD350,Mumbai,IIM A,3rd,Computer Science,College Colloboration
LD351,Bangalore,IIT Delhi,4th,Data Science,Linkedin
LD352,Mumbai,IIT Delhi,3rd,Finance,Instagram
LD353,Mumbai,VNIT Nagpur,2nd,Computer Science,College Colloboration
LD354,Mumbai,IIT Delhi,3rd,Artificial Intelligence,College Colloboration
LD355,Mumbai,IIT Delhi,2nd,Robotics,Instagram
LD356,Ahmedabad,VNIT Nagpur,2nd,Artificial Intelligence,Linkedin
LD357,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,Instagram
LD358,Delhi,IIT Delhi,4th,Finance,Instagram
LD359,Hyderabad,VNIT Nagpur,1st,Human Resource,Google Form
LD360,Delhi,IIT Delhi,4th,Human Resource,College Colloboration
LD361,Hyderabad,IIM A,1st,Robotics,Linkedin
LD362,Ahmedabad,IIM Bangalore,1st,Computer Science,Linkedin
LD363,Nagpur,IIM A,1st,Human Resource,Instagram
LD364,Bangalore,BIITS Raipur,1st,Data Science,College Colloboration
LD365,Ahmedabad,VNIT Nagpur,4th,Human Resource,Whatsapp
LD366,Raipur,IIIT Hyderabad,1st,Artificial Intelligence,Instagram
LD367,Raipur,IIM Bangalore,4th,Robotics,Linkedin
LD368,Delhi,VNIT Nagpur,3rd,Computer Science,Linkedin
LD369,Nagpur,IIM A,3rd,Human Resource,College Colloboration
LD370,Ahmedabad,IIIT Hyderabad,1st,Data Science,Linkedin
LD371,Raipur,IIT Delhi,4th,Robotics,Google Form
LD372,Mumbai,IIT Bombay,3rd,Finance,Linkedin
LD373,Nagpur,IIIT Hyderabad,3rd,Computer Science,College Colloboration
LD374,Delhi,IIT Bombay,1st,Robotics,Whatsapp
LD375,Delhi,IIT Bombay,2nd,Finance,Instagram
LD376,Ahmedabad,IIM Bangalore,1st,Computer Science,Linkedin
LD377,Hyderabad,IIT Bombay,1st,Robotics,Instagram
LD378,Mumbai,IIM A,3rd,Robotics,College Colloboration
LD379,Nagpur,Ramdeobaba Univerisity,4th,Robotics,Linkedin
LD380,Delhi,IIIT Hyderabad,1st,Robotics,College Colloboration
LD381,Nagpur,Ramdeobaba Univerisity,4th,Computer Science,Instagram
LD382,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,Instagram
LD383,Raipur,VNIT Nagpur,1st,Data Science,Google Form
LD384,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,College Colloboration
LD385,Mumbai,IIIT Hyderabad,1st,Artificial Intelligence,College Colloboration
LD386,Bangalore,VNIT Nagpur,2nd,Human Resource,Instagram
LD387,Delhi,IIT Bombay,3rd,Computer Science,College Colloboration
LD388,Bangalore,IIT Bombay,4th,Robotics,Whatsapp
LD389,Delhi,VNIT Nagpur,3rd,Robotics,College Colloboration
LD390,Hyderabad,BIITS Raipur,4th,Finance,College Colloboration
LD391,Raipur,IIT Bombay,2nd,Human Resource,Linkedin
LD392,Bangalore,IIM Bangalore,3rd,Robotics,College Colloboration
LD393,Raipur,IIM Bangalore,3rd,Human Resource,Whatsapp
LD394,Hyderabad,VNIT Nagpur,1st,Finance,Instagram
LD395,Ahmedabad,IIM Bangalore,3rd,Data Science,Whatsapp
LD396,Hyderabad,IIT Delhi,2nd,Data Science,Instagram
LD397,Mumbai,IIM A,3rd,Finance,Instagram
LD398,Ahmedabad,IIT Bombay,4th,Computer Science,Linkedin
LD399,Bangalore,IIT Bombay,2nd,Finance,College Colloboration
LD400,Bangalore,IIM Bangalore,4th,Computer Science,Instagram
LD401,Delhi,IIT Bombay,4th,Human Resource,College Colloboration
